,team_name,avg_yards_per_3rd_down_carry
0,Cincinnati,8.37
1,New Mexico,8.28
2,Clemson,7.82
3,Florida Atlantic,7.71
4,Ohio,7.44
5,Miami,7.42
6,Old Dominion,7.18
7,East Carolina,7.08
8,UNLV,6.87
9,North Carolina,6.81
10,Virginia Tech,6.77
11,USC,6.76
12,UAB,6.72
13,UCF,6.7
14,Memphis,6.68
15,Michigan State,6.46
16,North Texas,6.41
17,Kansas,6.39
18,App State,6.36
19,Rice,6.35
20,South Carolina,6.34
21,Liberty,6.3
22,Kansas State,6.25
23,Stanford,6.23
24,New Mexico State,6.15
25,Wisconsin,6.15
26,Vanderbilt,6.11
27,Oklahoma State,6.1
28,Marshall,6.1
29,UL Monroe,6.04
30,Illinois,6.03
31,Penn State,5.95
32,UCLA,5.94
33,NC State,5.93
34,Texas Tech,5.93
35,SMU,5.88
36,Notre Dame,5.85
37,Arkansas,5.83
38,Tulane,5.81
39,Oklahoma,5.8
40,Alabama,5.79
41,South Alabama,5.79
42,Sam Houston,5.73
43,Jacksonville State,5.72
44,Louisiana,5.7
45,UTSA,5.61
46,Michigan,5.57
47,Ball State,5.57
48,Mississippi State,5.56
49,Tulsa,5.51
50,Nevada,5.5
51,Middle Tennessee,5.45
52,Utah State,5.43
53,Boise State,5.41
54,Eastern Michigan,5.38
55,California,5.34
56,West Virginia,5.33
57,Central Michigan,5.33
58,Washington,5.3
59,Florida,5.29
60,Arizona State,5.27
61,South Florida,5.26
62,Auburn,5.25
63,Georgia Southern,5.24
64,Georgia State,5.22
65,Oregon,5.21
66,Massachusetts,5.18
67,Texas A&M,5.16
68,Pittsburgh,5.13
69,Minnesota,5.13
70,Arkansas State,5.1
71,Western Michigan,5.09
72,Texas State,5.08
73,Georgia,5.08
74,Oregon State,5.07
75,Louisville,5.06
76,Nebraska,5.05
77,Arizona,5.02
78,Tennessee,5.01
79,Boston College,5.0
80,Army,4.99
81,Akron,4.96
82,Charlotte,4.94
83,Kentucky,4.94
84,Rutgers,4.92
85,Virginia,4.89
86,Purdue,4.84
87,Ole Miss,4.83
88,Northern Illinois,4.82
89,Texas,4.81
90,Florida State,4.8
91,Indiana,4.75
92,Ohio State,4.75
93,Southern Miss,4.74
94,Utah,4.73
95,San Diego State,4.73
96,Buffalo,4.73
97,Missouri,4.62
98,Georgia Tech,4.59
99,Troy,4.53
100,Miami (OH),4.52
101,Kent State,4.46
102,LSU,4.42
103,BYU,4.41
104,Iowa,4.4
105,Coastal Carolina,4.37
106,James Madison,4.33
107,Wake Forest,4.33
108,Wyoming,4.31
109,Maryland,4.29
110,Colorado State,4.28
111,Iowa State,4.26
112,Bowling Green,4.25
113,Air Force,4.21
114,Washington State,4.21
115,Toledo,4.13
116,UTEP,4.1
117,Houston,4.01
118,Florida International,3.85
119,Navy,3.79
120,Western Kentucky,3.73
121,Northwestern,3.71
122,UConn,3.7
123,San Jos̩ State,3.69
124,Louisiana Tech,3.6
125,Fresno State,3.58
126,Colorado,3.49
127,Temple,3.49
128,Baylor,3.44
129,Duke,3.31
130,Syracuse,3.28
131,TCU,2.76
